name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Mohammed Siraj,GT,bowl,0,14,88.19,113,8.44,1,1,1
Karun Nair,DC,bat,1,23.6,131.61,0,0,32.6,1.29,1
Suryakumar Yadav,MI,bat,1,34.36,148.73,0,8,11,1.46,1
Brad Haddin,KKR,bat,0,18,163.64,0,0,18,1.64,1
Ruturaj Gaikwad,CSK,bat,1,38,136.51,0,0,12.6,1.33,1
Shivam Dube,CSK,bat,1,30.97,144.05,0,0,12.4,1.6,1
Manish Pandey,KKR,bat,1,29.42,121.52,0,0,30,1.18,1
Sachin Tendulkar,MI,bat,0,37.05,114.19,0,9.57,26,1.14,1
Salman Butt,KKR,bat,0,27.57,112.21,0,0,36.4,1.12,1
Rinku Singh,KKR,bat,1,30.78,143.48,0,0,17.4,1.37,1
Ben Rohrer,RR,bat,0,27.57,132.19,0,10.29,23.4,1.32,1
Martin Guptill,SRH,bat,0,22.58,137.56,0,0,24.6,1.38,1
Prerak Mankad,LSG,bat,0,32.33,129.33,0,0,19.4,1.29,1
Darren Harris,LSG,bat,0,37,107.77,0,8.67,27.75,1.08,1
Devdutt Padikkal,RCB,bat,1,25.78,129.23,0,0,28.4,1.24,1
Sanju Samson,CSK,bat,1,30.99,140.17,0,0,14,1.36,1
Auqib Nabi,DC,bat,1,4,200,0,10.6,4,2,1
Rajeshwar Sodhi,PBKS,bat,0,4,200,0,0,4,2,1
George Linde,LSG,bat,1,11.5,135.3,0,8.88,16,1.6,1
Abishek Porel,DC,bat,1,25.42,149.89,0,0,15.2,1.46,1
Kyle Mayers,LSG,bat,0,29.15,137.32,0,7.7,16.4,1.37,1
Rachin Ravindra,KKR,bat,1,24.29,143.91,0,3.5,17,1.39,1
Gautam Gambhir,KKR,bat,0,35.14,119.67,0,0,20.6,1.2,1
Ashish Nehra,GT,bowl,0,6.83,65.08,106,7.71,1.8,1,1
Prithvi Shaw,DC,bat,1,23.95,147.47,0,0,15.8,1.43,1
Kane Williamson,SRH,bat,0,38.07,122.95,0,10.33,14.8,1.23,1
Sediqullah Atal,DC,bat,0,22,137.5,0,0,22,1.38,1
Shimron Hetmyer,RR,bat,1,28.17,150.6,0,0,9.4,1.43,1
Kuldeep Yadav,DC,bowl,1,12.12,85.84,107,8.1,1.8,1,1
David Miller,DC,bat,1,36.53,139.27,0,0,8.2,1.34,1
Wriddhiman Saha,GT,bat,0,26.2,123.9,0,0,25.2,1.24,1
Vinay Kumar,KKR,allrounder,0,12.92,107.27,105,8.35,1.4,1,1
Matthew Hayden,CSK,bat,0,39.54,131.94,0,0,6.2,1.32,1
Brendon McCullum,KKR,bat,0,29.11,126.85,0,0,19.6,1.27,1
Sarfaraz Khan,CSK,bat,1,23.61,137.08,0,0,19.4,1.34,1
Usman Khawaja,RR,bat,0,31.75,120.95,0,0,19.4,1.21,1
Zaheer Khan,MI,bowl,0,9.75,82.98,103,7.54,1.4,1,1
Saurabh Tiwary,MI,bat,0,31.12,115.72,0,0,22.4,1.16,1
Rilee Rossouw,DC,bat,0,23.65,147.35,0,0,10.6,1.47,1
Ambati Rayudu,CSK,bat,0,31.06,124.58,0,0,17,1.25,1
Chaminda Silva,Deccan Chargers,bat,0,20,148.15,0,21,13.33,1.48,1
Ishan Kishan,SRH,bat,1,29.46,140.16,0,0,8.4,1.37,1
Dinesh Karthik,RCB,bat,0,28.66,131.35,0,0,13.8,1.31,1
Bhanuka Rajapaksa,PBKS,bat,0,23.08,137.81,0,0,15,1.38,1
Sam Billings,KKR,bat,0,20.12,126.07,0,0,24.8,1.26,1
Evin Lewis,RR,bat,0,27.25,131.06,0,0,14.6,1.31,1
Eklavya Dwivedi,SRH,bat,0,12,160,0,0,12,1.6,1
Varun Chakravarthy,KKR,bowl,1,5.2,54.17,105,7.65,1.8,1,1
Mahela Jayawardene,MI,bat,0,32.29,118.79,0,0,16.4,1.19,1
Swapnil Asnodkar,RR,bat,0,30.21,120.17,0,0,17.6,1.2,1
Alex Hales,KKR,bat,0,24.67,124.37,0,0,20.6,1.24,1
Shreyas Iyer,PBKS,bat,1,34.86,135.27,0,7,6,1.3,1
Sumeet Sohal,DC,bat,0,21.65,118.33,0,0,27.2,1.18,1
Rahul Dravid,RR,bat,0,30.62,113.35,0,0,21.2,1.13,1
Nehal Wadhera,PBKS,bat,1,24.48,140.82,0,7.76,11.6,1.35,1
Ishank Malhotra,CSK,bat,0,7,175,0,23,7,1.75,1
Arshdeep Singh,PBKS,bowl,1,5.17,67.4,103,9.04,2.4,1,1
Rahul Tripathi,KKR,bat,1,26.03,137.85,0,12,11,1.34,1
Mandeep Singh,PBKS,bat,0,21.87,120.31,0,13,24.8,1.2,1
Robin Uthappa,CSK,bat,0,28.97,126.15,0,0,13.4,1.26,1
