name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Moises Henriques,SRH,allrounder,0,28.57,124.84,42,7.98,1.4,1,1
Vaibhav Arora,KKR,bowl,0,3.33,37.04,42,9.25,1.4,1,1
Yusuf Pathan,SRH,allrounder,0,32.55,138.05,42,7.31,1.4,1,1
Andrew Tye,PBKS,bowl,0,11.38,115.19,42,8.45,1.2,1,1
Mukesh Kumar,DC,bowl,1,10,55.56,41,10.23,2.2,1,1
Virat Singh,SRH,bat,0,7.5,57.69,0,0,7.5,0.58,1
Moeen Ali,CSK,allrounder,0,24.31,134.91,41,7.15,1.6,1,1
Yash Dayal,RCB,bowl,0,1.33,44.44,41,9.21,1.2,1,1
S Sreesanth,RR,bowl,0,11.33,59.65,41,7.74,1.2,1,1
Kulwant Sharma,SRH,bat,0,5.33,64,0,0,5.33,0.64,1
Glenn Maxwell,RCB,allrounder,0,24.96,148.73,41,8.15,1,1,1
Harshit Rana,KKR,bowl,0,14.75,103.51,40,9.25,2,1,1
Iqbal Abdulla,KKR,bowl,0,88,102.33,40,7.16,1.6,1,1
Washington Sundar,GT,allrounder,1,17.51,130.13,40,7.76,1.4,1,1
Parvinder Awana,KXIP,bowl,0,2.5,35.71,39,8.11,1.4,1,1
Doug Bollinger,CSK,bowl,0,21,91.3,38,7.16,1.8,1,1
Pradeep Sangwan,GT,bowl,0,3.71,55.32,38,8.4,1.6,1,1
Marco Jansen,PBKS,bowl,1,12.58,107.86,41,9.28,1.4,1,1
Daniel Christian,RCB,allrounder,0,17.04,112.75,38,7.93,1.2,1,1
Mitchell Marsh,LSG,bat,1,27.3,142.01,37,8.52,1.6,1,1
Mayank Markande,MI,bowl,1,16,114.29,37,9.16,1.6,1,1
Manpreet Gony,CSK,bowl,0,12.38,130.26,37,8.54,1.4,1,1
Shivam Singh,PBKS,bat,0,2,66.67,0,0,2,0.67,1
Yuvraj Singh,MI,allrounder,0,26.23,124.78,36,7.42,1.6,1,1
Maheesh Theekshana,RR,bowl,0,5.67,50,36,8.16,1.4,1,1
Wayne Parnell,RCB,bowl,0,9.29,75.58,36,7.66,1.2,1,1
Murugan Ashwin,PBKS,bowl,0,5.83,70,35,7.9,1.6,1,1
Harpreet Brar,PBKS,bowl,1,20.33,120.2,35,8.03,1.6,1,1
Pawan Negi,RCB,allrounder,0,16.59,121.26,35,7.81,1.4,1,1
Tarun Kohli,PWI,bat,0,5.5,55,0,0,3.67,0.55,1
Peter Handscomb,RCB,bat,0,6,50,0,0,6,0.5,1
Unmukt Birla,RR,bat,0,7,46.67,0,0,7,0.47,1
Lungi Ngidi,DC,bowl,1,3,42.86,36,8.5,1.8,1,1
Kevon Cooper,RR,bowl,0,12.89,165.71,33,7.89,1.4,1,1
Suryansh Shedge,PBKS,bat,1,2.33,63.64,0,13.33,2.33,0.58,1
Rahul Tewatia,GT,bat,1,23.22,136.11,32,7.91,1,1,1
Sai Kishore,GT,bowl,1,4.5,112.5,32,8.86,1.4,1,1
Adam Zampa,RR,bowl,0,5,60,31,8.29,2.6,1,1
Abhishek Tomar,KKR,bat,0,4,50,0,0,4,0.5,1
Thisara Perera,SRH,allrounder,0,20.19,130.06,31,8.65,1.8,1,1
Murali Kartik,KKR,bowl,0,22.6,103.67,31,7.2,1.4,1,1
Chris Jordan,MI,bowl,0,10.12,100,30,9.3,2.2,1,1
Chris Woakes,RCB,bowl,0,15.6,101.3,30,8.73,1.6,1,1
Shivam Mavi,SRH,bowl,1,5.67,91.08,30,8.71,1,1,1
Azhar Mahmood,KXIP,allrounder,0,24.25,124.76,29,7.68,2,1,1
Ajit Agarkar,MI,bowl,0,25.57,111.87,29,8.59,1.6,1,1
Umran Malik,KKR,bowl,1,11.5,143.75,29,9.4,1.2,1,1
Amit Singh,RR,bowl,0,0.5,20,28,7.89,1.8,1,1
Ben Stokes,CSK,allrounder,0,24.61,130.22,28,8.49,1.6,1,1
Pravin Tambe,RR,bowl,0,18,46.15,28,7.71,1.4,1,1
Dirk Nannes,DC,bowl,0,4,30.77,28,7.1,1.2,1,1
Mohsin Khan,LSG,bowl,1,6.25,100,29,8.44,1.2,1,1
Daniel Vettori,RCB,bowl,0,20.17,102.54,28,6.83,1,1,1
Maharoof,DC,bowl,0,22.12,142.74,27,7.24,1.6,1,1
Mitchell Santner,MI,bowl,1,17,110.57,29,7.38,1.6,1,1
Harmeet Singh,RR,bowl,0,9,150,27,7.81,1.4,1,1
Angelo Mathews,KKR,allrounder,0,26.81,120.87,27,8.14,1.2,1,1
Mohit Rathee,RCB,bat,0,1,50,0,14.5,1,0.5,1
Manav Suthar,GT,bat,1,1,50,0,13,1,0.5,1
Dwayne Smith,CSK,allrounder,0,30.19,132.28,26,8.89,1.8,1,1
Younis Khan,RR,bat,0,3,42.86,0,0,3,0.43,1
Tim Paine,RCB,bat,0,5,34.48,0,0,5,0.34,1
Naveen-ul-Haq,KKR,bowl,0,18,69.23,25,8.87,1.8,1,1
Johan Botha,RR,allrounder,0,22.72,112.36,25,6.92,1.2,1,1
Brett Lee,KKR,bowl,0,17.71,121.57,25,7.38,1.2,1,1
Rishi Dhawan,PBKS,bowl,0,23.33,111.7,25,7.98,1.2,1,1
Yash Thakur,PBKS,bowl,1,0,0,25,10.43,1,1,1
Suresh Raina,CSK,allrounder,0,35.49,132.54,25,7.35,1,1,1
Shaun Tait,RR,bowl,0,7.67,88.46,24,7.51,2,1,1
Akash Madhwal,CSK,bowl,1,0,57.15,23,10.06,1.8,1,1
Navdeep Saini,KKR,bowl,1,8.25,89.19,23,8.97,1.6,1,1
Ankit Rajpoot,SRH,bowl,0,6.5,63.41,24,8.93,1,1,1
Robin Minz,MI,bat,1,3,40,0,0,3,0.38,1
Jean-Paul Duminy,MI,allrounder,0,45.09,120.77,23,7.25,1.8,1,1
Brad Hogg,KKR,bowl,0,11,100,23,7.53,1.6,1,1
Hemant Das,DC,bat,0,2,40,0,0,2,0.4,1
Bharat Sharath,RCB,bat,0,2,40,0,0,2,0.4,1
Stuart Binny,RR,allrounder,0,22,125.71,23,7.49,1.4,1,1
Sohail Tanvir,RR,bowl,0,12,116.13,22,6.23,2.8,1,1
Ricky Bhui,SRH,bat,0,2.5,37.04,0,0,2.5,0.37,1
Vyshak Vijaykumar,PBKS,bowl,1,7,116.67,23,10.3,1.8,1,1
Basil Thampi,SRH,bowl,0,32,86.49,22,9.6,1.8,1,1
Suyash Sharma,RCB,bowl,1,0,0,22,8.78,1.6,1,1
Ben Hilfenhaus,CSK,bowl,0,0,0,22,7.65,1.4,1,1
Shahbaz Ahmed,LSG,allrounder,1,19.31,120.69,22,9.65,1.4,1,1
Alzarri Joseph,GT,bowl,0,27,84.38,21,9.34,1.6,1,1
Venugopal Yalaka Mahesh,DC,bowl,0,7.5,53.57,21,8.54,1.4,1,1
Roelof van der Merwe,RCB,bowl,0,15.9,110.42,21,6.79,1.2,1,1
Krishnappa Gowtham,LSG,bowl,0,16.47,155.35,21,8.26,1,1,1
Kane Richardson,RCB,bowl,0,12,92.31,20,8.33,2,1,1
Anshul Kamboj,CSK,bowl,1,27.5,125,23,9.35,2,1,1
Mujeeb Ur Rahman,PBKS,bowl,0,4,80,20,8.08,1.6,1,1
Chetan Sakariya,DC,bowl,0,4,64.52,20,8.13,1.4,1,1
Kartik Tyagi,KKR,bowl,1,4,96,23,9.99,1.2,1,1
Andrew Symonds,MI,allrounder,0,42.35,124.71,20,7.71,1,1,1
Dimitri Mascarenhas,RR,bowl,0,11.29,100,19,7.06,2.2,1,1
Jason Behrendorff,MI,bowl,0,6,66.67,19,8.91,1.6,1,1
Riley Meredith,MI,bowl,0,0,0,19,8.98,1.4,1,1
Barinder Sran,SRH,bowl,0,10,71.43,19,8.92,1.2,1,1
Jagadeesha Suchith,SRH,bowl,0,23.33,112.9,19,8.35,1.2,1,1
Nathan Ellis,CSK,bowl,0,4.75,73.08,19,8.51,1.2,1,1
Eshan Malinga,SRH,bowl,1,0,0,21,9.26,2,1,1
Chaminda Vaas,RR,bowl,0,13.5,110.96,18,7.58,1.8,1,1
Chris Gayle,PBKS,allrounder,0,40.3,142.12,18,7.76,1.6,1,1
Anureet Singh,KXIP,bowl,0,9,76.6,18,8.87,1.4,1,1
Ishwar Pandey,CSK,bowl,0,0,0,18,7.79,1.4,1,1
Mukesh Choudhary,CSK,bowl,1,6,100,19,9.96,2.6,1,1
Ashish Reddy,SRH,bowl,0,21.54,142.86,18,8.89,1,1,1
Cameron Green,KKR,bat,1,37.78,153.27,17,9.46,1,1,1
Dilhara Fernando,MI,bowl,0,4,133.33,17,7.37,1.8,1,1
Brad Hodge,KKR,allrounder,0,35,121.42,17,7.82,1.8,1,1
Deepak Rathi,MI,bowl,0,1,25,17,8.17,1.4,1,1
Bipul Sharma,SRH,bowl,0,37.4,150.81,17,8,1.2,1,1
David Wiese,KKR,bowl,0,29.6,140.95,16,8.74,1.6,1,1
Ravi Rampaul,RCB,bowl,0,10.2,98.08,16,6.88,1.2,1,1
Yusuf Abdulla,KKR,bowl,0,0,0,15,8.41,2.2,1,1
Rohan Gavaskar,KKR,bat,0,2,25,0,8,2,0.25,1
Rohit Sharma,MI,bat,1,29.8,132.61,15,8.02,1.4,1,1
Gerald Coetzee,SRH,bowl,1,5.17,93.94,15,10.37,1.4,1,1
Mohammad Nabi,MI,bowl,0,14.73,140.76,15,7.55,1.2,1,1
Laxmi Ratan Shukla,KKR,allrounder,0,16.2,113.13,15,8.43,1,1,1
Shrivats Goswami Srivastava,RCB,bowl,0,5,100,14,8.71,1.6,1,1
Kyle Jamieson,DC,allrounder,1,16.25,108.34,14,9.67,1.6,1,1
Abraham Thomas,RR,bowl,0,20,105.26,14,7.63,1.6,1,1
Kuldeep Sen,RR,bowl,1,0,0,14,9.63,1.6,1,1
Daniel Sams,MI,bowl,0,4.89,91.67,14,8.14,1.4,1,1
Manoj Bhandage,RCB,bat,0,1,25,0,0,1,0.25,1
James Hopes,DC,allrounder,0,27.8,132.8,14,9.14,1,1,1
Charl Langeveldt,KKR,bowl,0,4,88.89,13,7.24,1.6,1,1
Vipraj Nigam,DC,bowl,1,19.25,179.07,12,9.34,1.6,1,1
Sandeep Lamichhane,DC,bowl,0,0,0,13,8.45,1.6,1,1
Carlos Brathwaite,KKR,bowl,0,15.08,150.83,13,8.66,1.6,1,1
Romario Shepherd,RCB,bowl,1,24.89,200,13,12.36,1.6,1,1
Sanath Jayasuriya,MI,allrounder,0,28.44,134.03,13,7.89,1.4,1,1
Liam Livingstone,SRH,bat,1,25.38,155.17,13,9.02,1.4,1,1
Tom Curran,RR,bowl,0,25.4,117.59,13,10.29,1.4,1,1
Ramesh Powar,MI,bowl,0,33.5,104.69,13,7.29,1.2,1,1
Dushmantha Chameera,DC,bowl,1,13.25,126.2,13,9.73,1,1,1
Karanveer Singh,PBKS,bowl,0,12,70.59,12,9.1,2.4,1,1
Umar Gul,KKR,bowl,0,19.5,205.26,12,7.76,2.4,1,1
Glenn McGrath,DC,bowl,0,4,80,12,6.67,2,1,1
Bhargav Bhatt,RR,bowl,0,6,85.71,12,8.08,2,1,1
Rasikh Salam,RCB,bowl,0,10,100,12,9.96,1.8,1,1
Azmatullah Omarzai,PBKS,bowl,1,12.38,133.79,12,9.69,1.6,1,1
Ryan McLaren,KKR,bowl,0,26.5,89.33,12,9,1.4,1,1
Nandre Burger,RR,bowl,1,3,60,13,8.69,1.4,1,1
Mark Wood,LSG,bowl,0,6,120,11,9.07,2.75,1,1
Azharuddin Ahmed,RCB,bowl,0,36,133.33,12,8.54,1.2,1,1
Ankit Sharma,DC,bowl,0,12.43,126.09,12,7.25,1.2,1,1
Kumar Kartikeya,MI,bowl,0,6,66.67,12,8.52,1.2,1,1
VRV Singh,PBKS,bowl,0,4,133.33,12,8.88,1.2,1,1
Joginder Sharma,CSK,bowl,0,12,120,12,9.29,1,1,1
Arshad Khan,GT,bowl,1,20.67,140.91,12,11.49,1,1,1
James Pattinson,MI,bowl,0,15,115.38,11,8.68,2,1,1
Tymal Mills,RCB,bowl,0,2,57.14,11,9.61,1.8,1,1
Pankaj Singh,RR,bowl,0,3.5,58.33,11,9.11,1.8,1,1
Obed McCoy,RR,bowl,0,8,160,11,8.5,1.8,1,1
Simarjeet Singh,KKR,bowl,0,3.33,66.67,11,9.63,1.8,1,1
Darren Sammy,SRH,bowl,0,21.07,117.53,11,8.7,1.8,1,1
Josh Little,GT,bowl,0,0,0,11,8.67,1.8,1,1
Mohammad Ashraful,RR,bat,0,2,16.67,0,0,2,0.17,1
Shaun Pollock,MI,bowl,0,18.38,126.72,11,6.58,1.6,1,1
Abhishek Sharma,SRH,bat,1,27.44,167.48,11,9.11,1.6,1,1
Ajit Chandila,RR,bowl,0,4,57.14,11,6.28,1.4,1,1
Andrew McDonald,RCB,bowl,0,24.6,119.42,11,8.39,1.4,1,1
Ravi Bopara,PBKS,allrounder,0,31.24,113.46,11,8.48,1.4,1,1
Ashwani Kumar,MI,bowl,1,0,0,15,10.45,1.4,1,1
Samuel Badree,RCB,bowl,0,2.6,52,11,7.51,1.2,1,1
Juan Theron,RR,bowl,0,10,76.92,11,7.94,1.2,1,1
Corey Anderson,MI,allrounder,0,28.32,123.39,11,10,1.2,1,1
Kamran Khan,RR,bowl,0,3,60,10,8.41,2,1,1
Harsh Dubey,SRH,bowl,1,6.5,144.45,10,9.12,1.6,1,1
Ben Laughlin,RR,bowl,0,2.5,38.46,10,9.52,1.6,1,1
Sourav Ganguly,KKR,allrounder,0,26.45,101.73,10,7.93,1.6,1,1
Vikram Pratap Singh,MI,bowl,0,0,0,10,8.53,1.4,1,1
Ben Cutting,MI,bowl,0,23.8,163.01,10,8.96,1.4,1,1
Deepak Hooda,CSK,allrounder,0,19.96,123.41,10,8.44,1.2,1,1
Anukul Roy,KKR,bowl,1,10.83,127.46,10,8.51,1.2,1,1
Nitish Rana,DC,bat,1,27.1,136.04,10,8.44,1.2,1,1
Lalit Yadav,DC,allrounder,0,20.33,101.33,10,8.78,1.2,1,1
Akash Deep,KKR,bowl,0,8.33,178.57,10,11.01,1.2,1,1
Keemo Paul,DC,bowl,0,4.5,69.23,9,7.97,2.25,1,1
Mohit Yadav,CSK,bowl,0,0,0,9,8.74,2.25,1,1
Ali Murtaza,MI,bowl,0,10,71.43,9,7.18,1.8,1,1
Jacob Oram,CSK,bowl,0,13.25,96.36,9,8.9,1.8,1,1
Nuwan Thushara,RCB,bowl,0,0,0,9,8.76,1.8,1,1
Shahid Afridi,DC,bowl,0,10.12,176.09,9,7.69,1.8,1,1
Prasanth Parameswaran,RCB,bowl,0,1,33.33,9,8.53,1.8,1,1
KP Appanna,RCB,bowl,0,2,50,9,7.86,1.6,1,1
Ish Sodhi,RR,bowl,0,3.5,38.89,9,6.73,1.4,1,1
Shane Bond,KKR,bowl,0,1,50,9,7.07,1.4,1,1
Prince Yadav,LSG,bowl,1,0,50,14,9.23,1.4,1,1
Marlon Samuels,DC,bowl,0,16.1,92.53,9,7.81,1.4,1,1
Sachithra Senanayake,KKR,bowl,0,10,58.82,9,6.49,1.2,1,1
James Franklin,MI,allrounder,0,29.73,105.83,9,8.71,1.2,1,1
Beuran Hendricks,MI,bowl,0,1,33.33,9,9.13,1.2,1,1
Akash Singh,LSG,bowl,1,0,0,9,9.54,1.2,1,1
Vijay Shankar,GT,allrounder,0,26.8,125.18,9,8,1.2,1,1
Abhishek Nayar,RR,allrounder,0,22.4,114.29,9,8.11,1,1,1
Riyan Parag,RR,bat,1,25.03,140.99,9,9.64,1,1,1
Sandeep Warrier,MI,bowl,0,0,0,8,8.76,2,1,1
Thilan Thushara,CSK,bowl,0,12,63.16,8,6.83,1.6,1,1
Scott Styris,DC,bowl,0,18.71,97.76,8,7.51,1.6,1,1
Jimmy Neesham,RR,bowl,0,11.5,98.92,8,9.24,1.6,1,1
Adam Milne,RR,bowl,1,5.75,79.32,7,9.48,1.6,1,1
Yudhvir Singh,LSG,bowl,0,7.33,137.5,8,10.63,1.6,1,1
David Hussey,KKR,allrounder,0,30.74,120.07,8,9.01,1.4,1,1
KC Cariappa,RR,bowl,0,8,114.29,8,9.35,1.4,1,1
Isuru Udana,RCB,bowl,0,5,136.36,8,9.43,1.4,1,1
Will Jacks,MI,bat,1,27.24,152.81,8,9.57,1.4,1,1
Ajantha Mendis,KKR,bowl,0,1.5,50,8,7.4,1.4,1,1
Syed Mohammad,RCB,bowl,0,14.5,107.41,8,8.76,1.4,1,1
Ankit Chavan,RR,bowl,0,12,109.09,8,7.98,1.2,1,1
Mohammad Asif,RR,bowl,0,3,50,8,9.26,1.2,1,1
Jayant Yadav,GT,bowl,1,10,111.12,8,6.85,1,1,1
Anand Rajan,DC,bowl,0,0,0,8,7.63,1,1,1
Jesse Ryder,RCB,allrounder,0,23.23,129.61,8,7.82,1,1,1
Makhaya Ntini,CSK,bowl,0,11,57.89,7,7.24,2.33,1,1
Paul Valthaty,KXIP,allrounder,0,24.05,116.9,7,8.12,1.75,1,1
Billy Stanlake,SRH,bowl,0,5,250,7,8,1.75,1,1
Swapnil Singh,RCB,bowl,1,10.2,113.34,7,8.93,1.4,1,1
Harry Gurney,KKR,bowl,0,1,20,7,8.49,1.4,1,1
Gerhard Viljoen,PBKS,bowl,0,1.5,42.86,7,9.41,1.4,1,1
Mohammed Asif,RR,bowl,0,0,0,7,9.73,1.4,1,1
Abhijit Salvi,MI,bowl,0,0,0,7,7.88,1.4,1,1
Pradeep Amarnath,RCB,bowl,0,0,0,7,10.95,1.4,1,1
Nitish Kumar Reddy,SRH,bat,1,28.23,138,9,10.34,1.4,1,1
Abhimanyu Mithun,RCB,bowl,0,6.8,130.77,7,9.17,1.2,1,1
Kevin Pietersen,DC,allrounder,0,38.5,132.06,7,7.27,1.2,1,1
Jerome Taylor,MI,bowl,0,3,75,6,8.21,2,1,1
Saurabh Kaushik,RR,bowl,0,0,0,6,8.69,2,1,1
Ramandeep Singh,KKR,bat,1,19.53,151.04,7,13.43,2,1,1
Jacob Duffy,RCB,bowl,1,0,0,6,11.5,2,1,1
Odean Smith,PBKS,bowl,0,17,102,6,11.31,2,1,1
William O'Rourke,RR,bowl,0,0,0,6,12.38,2,1,1
Rohan Raje,MI,bowl,0,20,111.11,6,8.92,1.5,1,1
Jaskaran Singh,PBKS,bowl,0,8,72.73,6,9.41,1.5,1,1
V Puthur,MI,bowl,0,0,0,6,8.96,1.5,1,1
Dwaine Pretorius,CSK,bowl,0,11,157.14,6,8.75,1.5,1,1
Fazalhaq Farooqi,SRH,bowl,0,5,33.33,6,9.92,1.5,1,1
Sheldon Cottrell,PBKS,bowl,0,0,0,6,8.11,1.5,1,1
Venugopal Rao,SRH,allrounder,0,29.85,113.87,6,9.14,1.5,1,1
B Akhil,RCB,bowl,0,15.2,133.33,6,7.65,1.5,1,1
Zeeshan Ansari,SRH,bowl,1,0,0,6,9.84,1.5,1,1
Colin de Grandhomme,RCB,allrounder,0,21.64,132.31,6,8.43,1.5,1,1
Michael Bracewell,RCB,bowl,0,29,118.37,6,8.64,1.5,1,1
Kulwant Khejroliya,GT,bowl,1,0,0,6,10.62,1.5,1,1
Shivam Dube,CSK,allrounder,0,32.68,136.18,6,10.62,1.5,1,1
Darshan Nalkande,GT,bowl,0,12,100,6,10.11,1.5,1,1
Vikram Singh Malik,DC,bowl,0,7,100,6,7.58,1.2,1,1
Sudeep Tyagi,CSK,bowl,0,3,75,6,8.29,1.2,1,1
David Willey,RCB,bowl,0,26.5,82.81,6,7.52,1.2,1,1
Aiden Markram,LSG,bat,1,30.81,137.28,6,9.59,1.2,1,1
Xavier Bartlett,PBKS,bowl,1,22,110,6,10.23,1.2,1,1
Suraj Randiv,CSK,bowl,0,2,50,6,7.43,1.2,1,1
Tirumalasetti Suman,SRH,allrounder,0,23.31,115.16,6,7.82,1.2,1,1
Virender Sehwag,PBKS,allrounder,0,29.65,148.83,6,10.26,1.2,1,1
Sakib Hussain,SRH,bowl,1,0,0,5,11.2,4,1,1
Shoaib Akhtar,KKR,bowl,0,2,25,5,7.04,2.5,1,1
Marchant de Lange,KKR,bowl,0,1,50,5,8.84,2.5,1,1
Praful Hinge,SRH,bowl,1,0,0,5,11.75,4,1,1
Siddharth Narwal,RR,bowl,0,12.33,127.59,5,10.78,2.5,1,1
Blessing Muzarabani,KKR,bowl,1,0,0,4,10.71,4,1,1
Jamie Overton,CSK,bowl,1,39.33,147.5,8,10.76,2.5,1,1
Gurkeerat Singh Mann,RCB,allrounder,0,23.23,117.2,5,7.1,1.67,1,1
Abhishek Dole,RR,bowl,0,17,147.83,5,9.37,1.67,1,1
Oshane Thomas,RR,bowl,0,0,0,5,8.1,1.67,1,1
Swapnil Wagh,RR,bowl,0,2,66.67,5,8.17,1.67,1,1
Shoaib Ahmed,KKR,bowl,0,1,16.67,5,8.97,1.67,1,1
Hrithik Shokeen,MI,bowl,0,22,98.51,5,9.01,1.67,1,1
Fidel Edwards,RR,bowl,0,4,80,5,6.4,1.25,1,1
Paul Collingwood,DC,bowl,0,67.67,127.67,5,6.73,1.25,1,1
Nuwan Kulasekara,CSK,bowl,0,5,166.67,5,6.84,1.25,1,1
Aniket Choudhary,RCB,bowl,0,25,125,5,8,1.25,1,1
Rohan Gomez,MI,bowl,0,10,94.34,5,8.04,1.25,1,1
Kamlesh Nagarkoti,KKR,bowl,0,5.5,64.71,5,9.31,1.25,1,1
Shivam Ladda,KKR,bowl,0,0,0,5,9.57,1.25,1,1
M Siddharth,LSG,bowl,1,0,0,7,8.74,1.25,1,1
Rahul Shukla,DC,bowl,0,19,82.61,5,10.02,1.25,1,1
Spencer Johnson,CSK,bowl,1,0,72.73,5,10.39,1.25,1,1
Reece Topley,RCB,bowl,0,3,50,5,10.66,1.25,1,1
Tillakaratne Dilshan,RCB,allrounder,0,29.56,110.12,5,8.03,1,1,1
Dewald du Preez,RCB,bowl,0,10,76.92,4,7.81,2,1,1
Shivang Kumar,SRH,bowl,1,7,150,5,8.33,2,1,1
Liam Plunkett,DC,bowl,0,1,33.33,4,8.88,2,1,1
Robin Peterson,MI,bowl,0,32,100,3,8.75,3,1,1
Doug Bracewell,SRH,bowl,0,12,133.33,3,7.68,3,1,1
Rajvardhan Hangargekar,CSK,bowl,0,0,0,3,8.37,3,1,1
Justin Kemp,RR,bowl,0,13,104,3,7.4,3,1,1
Ayush Badoni,LSG,bat,1,26.45,139.4,4,9.22,1.33,1,1
DJ Muthuswami,CSK,bowl,0,1,33.33,4,7.71,1.33,1,1
Shivam Sharma,PBKS,bowl,0,5,166.67,4,8.68,1.33,1,1
Virat Kohli,RCB,bat,1,39.77,133.44,4,8.8,1.33,1,1
Sanjay Bangar,RCB,bowl,0,9.8,84.48,4,8.67,1.33,1,1
Ashok Sharma,GT,bowl,1,0,25,6,10.86,1.33,1,1
Matt Henry,CSK,bowl,1,3.5,70,4,11.52,1.33,1,1
Tristan Stubbs,DC,bat,1,46,156.36,4,11.5,1.33,1,1
Yashpal Nagar,DC,bowl,0,21.92,105.17,4,10.42,1.33,1,1
Parvez Rasool,SRH,bowl,0,8.5,85,4,8.19,1,1,1
Durga Vijaykumar,CSK,bowl,0,1,100,4,7.74,1,1,1
Shikhar Dhawan,PBKS,allrounder,0,38.24,123.45,4,8.82,1,1,1
Wilkin Mota,RR,bowl,0,11.2,73.68,4,7.84,1,1,1
David Thornely,MI,bowl,0,13,72.22,3,5.45,1.5,1,1
Stuart Harwood,RR,bowl,0,9,64.29,3,6.63,1.5,1,1
John Hastings,KKR,bowl,0,0,0,3,6.49,1.5,1,1
Ashok Menaria,RR,allrounder,0,20.05,109.26,3,7.65,1.5,1,1
Shashank Singh,PBKS,bat,1,39.24,159.69,4,9.1,1.5,1,1
Pragyan Sahu,RR,bowl,0,19,146.15,3,8.52,1.5,1,1
Brijesh Sharma,RR,bowl,1,0,33.34,3,8.65,1.5,1,1
Johann van der Wath,RCB,bowl,0,9,105.88,3,10.58,1.5,1,1
Abhinandan Singh,RCB,bowl,1,0,0,3,12.62,1.5,1,1
Rohan Ninan,MI,bowl,0,3,50,3,10.83,1.5,1,1
Krishmar Santokie,MI,bowl,0,0,0,3,10.71,1.5,1,1
Venkatesh Iyer,RCB,bat,1,30.55,138.1,3,10.59,1.5,1,1
Lalit Ablish,DC,bowl,0,0,0,3,10.13,1.5,1,1
Jason Richardson,RCB,bowl,0,5.67,62.96,3,10.34,1.5,1,1
Ravichandran Sathish,MI,bowl,0,19.29,114.41,3,9.71,1,1,1
Tabraiz Shamsi,RR,bowl,0,2,50,3,9.25,1,1,1
George Garton,RCB,bowl,0,2,50,3,8.41,1,1,1
Sikandar Raza,PBKS,bowl,0,26,127.27,3,9.95,1,1,1
Arjun Tendulkar,LSG,bowl,0,13,144.44,3,8.46,1,1,1
Gagandeep Singh,PBKS,bowl,0,0,0,3,10.07,1,1,1
Sachin Baby,RCB,bowl,0,18,117.07,2,4.8,2,1,1
Keshav Maharaj,RR,bowl,0,1,50,2,6.5,2,1,1
Prashant Solanki,KKR,bowl,1,0,0,2,6.33,2,1,1
Scott Boland,CSK,bowl,0,0,0,2,7.81,2,1,1
Vidwath Kaverappa,PBKS,bowl,0,0,0,2,9,2,1,1
Adil Rashid,PBKS,bowl,0,11,129.41,2,9.1,2,1,1
Swapnil Chitnis,MI,bowl,0,16.5,107.61,2,9.79,2,1,1
Scott Kuggeleijn,CSK,bowl,0,0,0,2,8.52,2,1,1
Allah Ghazanfar,MI,bowl,1,0,0,6,9.35,2,1,1
Mangesh Khote,MI,bowl,0,12,109.09,2,10.4,2,1,1
Travis Head,SRH,bat,1,33.05,166.76,2,11.69,2,1,1
Amit Uniyal,RR,bowl,0,4,57.14,2,10.58,2,1,1
David Payne,SRH,bowl,0,6,120,2,13.55,2,1,1
Michael Clarke,PWI,bowl,0,19.6,102.08,2,6.55,1,1,1
Chirag Nanda,RR,bowl,0,0,0,2,6.96,1,1,1
Ryan ten Doeschate,KKR,allrounder,0,27.17,136.97,2,6.8,1,1,1
Mohammad Hafeez,KKR,bowl,0,9.14,76.19,2,6.76,1,1,1
Kusal Mendis,RR,bowl,0,23,127.78,2,8.57,1,1,1
Fabian Allen,MI,bowl,0,7,73.68,2,8.97,1,1,1
Mayank Dagar,SRH,bowl,0,0,0,2,8.91,1,1,1
Andrew Flintoff,CSK,bowl,0,31,108.77,2,9.64,1,1,1
Praveen Dubey,RCB,bowl,0,23,69.7,2,8.51,1,1,1
Prashant Veer,CSK,allrounder,1,0,0,0,0,0,0,0
Richard Gleeson,CSK,bowl,0,2,100,2,9.12,1,1,1
Ankit Soni,GT,bowl,0,3.5,77.78,2,7.77,1,1,1
Akeal Hosein,CSK,bowl,1,16,160,2,8.6,1,1,1
Glenn Phillips,GT,bowl,1,12,121.11,2,8,1,1,1
Nayan Doshi,RR,bowl,0,0,0,2,8.32,1,1,1
Nuwan Zoysa,MI,bowl,0,11,122.22,2,8.7,1,1,1
Corbin Bosch,MI,bowl,1,29,161.12,2,9.25,1,1,1
Shoaib Malik,DC,bowl,0,13,106.12,2,9,1,1,1
Kyle Abbott,DC,bowl,0,13,162.5,2,10.71,1,1,1
Jerome Scantlebury-Searles,PBKS,bowl,0,8,133.33,2,11.87,1,1,1
Luke Wright,PWI,bowl,0,26.5,168.25,2,10,1,1,1
Kwena Maphaka,RR,bowl,1,8,266.67,2,13,1,1,1
Abdul Samad,LSG,bat,1,18.91,147.02,2,13.16,1,1,1
Dayanand Kalyankrishna,DC,bowl,0,3,37.5,2,10.56,1,1,1
Navdeep Singh,PBKS,bowl,0,0,0,1,4.32,1,1,1
Sandesh Mundhe,PWI,bowl,0,0,0,1,5.14,1,1,1
